"RefDes","Name","Value"
"B1","BATTERY12MM","3.3v"
"C1","CAP_0603","0.1uf"
"C2","CAP_POLG","220uf 50v"
"C3","CAP_POLF80","220uf 35v"
"C4","CAP_POLF80","220uf 35v"
"C5","CAP_0603","0.1uf"
"D1","LL4007","IN4007"
"D2","LL4007","IN4007"
"D3","LL4007","IN4007"
"D4","LL4007","IN4007"
"D5","LL4007","IN4007"
"D6","LL4007","IN4007"
"D7","LL4007","IN4007"
"D8","LL4007","IN4007"
"D9","SCHOTTKY-SS54","SS54"
"F1","PTCFUSE-1206","3A"
"J1","OSTYO022150","+ Power -"
"J2","OSTYO022150","Vertical"
"J3","OSTYO022150","Horizontal"
"L1","INDUCTOR 12X12mm",""
"R1","RES_1206","2.2k"
"R2","RES_1206","2.2k"
"U1","BlueTooth Module Vertical",""
"U2","Arduino Nano 3.0",""
"U3","DS1307Z","DS1307Z"
"U5","L298HEATSINK2",""
"U6","LM2596S-12",""
"X1","CRYSTALTC26H","32769 kHz"
