"RefDes","Type","Value"
"C2","CAP_0805","470 nf"
"C3","CAP_0805","470 nf"
"C4","CAP1000AP","470 mfd 35V"
"C5","CAP_0805","470 nf"
"C6","CAP_0805","470 nf"
"J1","HDR-1X5","Actuator"
"J2","HDR-1X5","Actuator"
"J3","HDR-1X4","LCD"
"J4","HDR-1X2","Power"
"J5","HDR-1X4","RS232"
"M1","D24V6F5 ",""
"R1","RES_1206","10k"
"R2","RES_1206","10k"
"R3","RES_1206","10k"
"R4","RES_1206","10k"
"R5","RES_1206","634"
"R6","RES_1206","634"
"R7","RES_1206","2.2k"
"R8","RES_1206","2.2k"
"R9","RES_1206","10k"
"R10","RES_1206","10k"
"R11","RES_1206","10k"
"R12","RES_1206","10k"
"R13","RES_1206","634"
"R14","RES_1206","634"
"R15","RES_1206","3k"
"R16","RES_1206","3.k"
"R17","RES_1206","634"
"R18","RES_1206","634"
"R19","RES_1206","634"
"R20","RES_1206","634"
"R21","RES_1206","634"
"R22","RES_1206","634"
"U1","NETDUINO_MINI","NetduinoMini"
"U2","BTN7960",""
"U3","DS1307Z","DS1307Z"
"U4","BTN7960",""
"U5","BTN7960",""
"U6","BTN7960",""
"U7","BlueTooth Module",""
"U8","LEDCHIP-LED0805","Red"
"U9","LEDCHIP-LED0805","Yellow"
"U10","LEDCHIP-LED0805","Yellow"
"U11","LEDCHIP-LED0805","Red"
"U12","LEDCHIP-LED0805","Green"
"U13","LEDCHIP-LED0805","Green"
"X1","CRYSTALTC26H","32769 kHz"
"Z2","DIODE-ZENERSMB","SMBJ30"
